round.roundNumber,opponent,venue.name,PFPG_AVG,PFPG,PFPG_diff,Opp_PAPG,PAPG_diff,Venue_AVG,PPV_diff
1,Gold Coast SUNS,People First Stadium,1539.83,1441.0,-6.42,1531.39,-5.9,1478.28,-2.52
2,Geelong Cats,Adelaide Oval,1539.83,1630.0,5.86,1585.17,2.83,1511.26,7.86
3,Fremantle,Optus Stadium,1539.83,1450.0,-5.83,1503.78,-3.58,1505.23,-3.67
4,Melbourne,Adelaide Oval,1539.83,1576.0,2.35,1562.04,0.89,1511.26,4.28
5,Carlton,Marvel Stadium,1539.83,1451.0,-5.77,1500.87,-3.32,1544.71,-6.07
6,Essendon,Adelaide Oval,1539.83,1492.0,-3.11,1494.26,-0.15,1511.26,-1.27
7,North Melbourne,Ninja Stadium,1539.83,1708.0,10.92,1545.13,10.54,1544.75,10.57
8,Port Adelaide,Adelaide Oval,1539.83,1594.0,3.52,1431.43,11.36,1511.26,5.47
9,Brisbane Lions,Adelaide Oval,1539.83,1498.0,-2.72,1464.22,2.31,1511.26,-0.88
10,Collingwood,MCG,1539.83,1706.0,10.79,1549.78,10.08,1540.73,10.73
11,West Coast Eagles,Adelaide Oval,1539.83,1761.0,14.36,1611.65,9.27,1511.26,16.53
12,Hawthorn,MCG,1539.83,1557.0,1.12,1516.96,2.64,1540.73,1.06
13,Richmond,Adelaide Oval,1539.83,1619.0,5.14,1652.3,-2.02,1511.26,7.13
14,Sydney Swans,Adelaide Oval,1539.83,1467.0,-4.73,1486.57,-1.32,1511.26,-2.93
16,GWS GIANTS,Adelaide Oval,1539.83,1528.0,-0.77,1448.04,5.52,1511.26,1.11
17,Brisbane Lions,Gabba,1539.83,1461.0,-5.12,1464.22,-0.22,1509.23,-3.2
18,St Kilda,Adelaide Oval,1539.83,1492.0,-3.11,1560.61,-4.4,1511.26,-1.27
19,Essendon,Marvel Stadium,1539.83,1445.0,-6.16,1494.26,-3.3,1544.71,-6.45
20,Hawthorn,Adelaide Oval,1539.83,1400.0,-9.08,1516.96,-7.71,1511.26,-7.36
21,Geelong Cats,GMHBA Stadium,1539.83,1645.0,6.83,1585.17,3.77,1545.83,6.42
22,Western Bulldogs,Adelaide Oval,1539.83,1667.0,8.26,1507.74,10.56,1511.26,10.31
23,Port Adelaide,Adelaide Oval,1539.83,1397.0,-9.28,1431.43,-2.41,1511.26,-7.56
24,Sydney Swans,SCG,1539.83,1431.0,-7.07,1486.57,-3.74,1504.32,-4.87
